category	bytes	sha256	duplicate_target	path
S	3112	50188ce29053748f4957c2492ed2686e0a990efd98905ea6f415a38d3117afca		notes/.rc-p1-disp-ubs.txt
S	2780	deec31324d96f3dd87c9167bb0dd7ed488759eddd90d22872aae8466909bd401		notes/.rc-p1-disp-ubsfix.txt
S	3459	e668db282a79fb5d993c54c353d720be3d50207bbdb65370aeb2c72636c4fbc2		notes/.rc-p1-disp-upstream.txt
S	3262	3410129699767b209615991362bd01e835bb516425d48667edc1f858b3149d62		notes/.rc-p1-dispatch-p4.txt
S	2663	a3eec7cd285ebd0983721202baabcf0e7b2caf9b59e86962f766d3054055a048		notes/.rc-p1-grade-go.txt
S	2332	1ce3db269bfa4412d039879ffe94ad9ab41f3d9b94b3b83b2cec1883b53e33b5		notes/.rc-p1-gradeinstall.txt
S	3017	f2b2bbc6730b988744db2d91b72deca1aca3607d39792a315d64ce3dd214e26f		notes/.rc-p1-installpass.txt
S	3959	f4c76c9f87fbfb7574ff60185ec581f2a6fab3eb5ecb896054f9944b12aefaf0		notes/.rc-p1-jevify.txt
S	3435	e3278e0f801892b5969bb7daa373d5a50f592241305fc82de7636974f83ab336		notes/.rc-p1-k9z3-retry.txt
S	3538	612a879efdaa4e70257fc68bd204488a819ded1eb6762818b22b31c1ac606fa5		notes/.rc-p1-l2.txt
S	1730	17cab873ea6cb052cd6fb4e1f9985d33c527faab7270e32bce9fa4637eda7eaa		notes/.rc-p1-landed.txt
S	2090	cd353a0d8d8bbabf0fb48f7b8163e58a4a4c2b94bdae73a7233e456811b171a9		notes/.rc-p1-limitdoc.txt
S	4396	2cd417e3c102bd70a815c5bd4a1a1292ef497573dfade7c4e2990a428302c65d		notes/.rc-p1-live.txt
S	3642	f3196b21a182fb3d63a5ed59df2327aaaafc1083aec35cfb97039c2bf020d0bb		notes/.rc-p1-live2.txt
S	2657	96d083c9eae4cfdc6cbde5afc88c25af3ee109b0dcd38a8a7f582f3b063dbd30		notes/.rc-p1-loop.txt
S	3242	19c4f590bfb70ca35160f0bf22baa9aa6a1a70697f69c156bedd35603d1e8916		notes/.rc-p1-macos-blocked.txt
S	2780	d555b604a0214cc30febaeb898ebc2db5e1f0aeac3012c291b972b6e8185f2c6		notes/.rc-p1-miscount.txt
S	862	a450f13cc391a4733eb6cc8653ed5ab599b78cd3ed79100a1a922935a3f5631a		notes/.rc-p1-nativerule.txt
S	2633	38daf153ca05afd1789769d58c6a4a52794d9967a24ff6e54aa39daf7ffbd4b6		notes/.rc-p1-negevhold.txt
S	2424	47cabc62c7ec090586238b5cce5cdf1951b46af1327dfaa5729665a56644b3a6		notes/.rc-p1-nospend.txt
S	2476	fcb6540af17dd054ef3f90e1c85fae79dfa56388947f77d3440e60b5d0993a3f		notes/.rc-p1-onmain.txt
S	3127	293316cef64dbb86dccd73a29be661045fe22fa0cf4f0f264e8928c70a9ee367		notes/.rc-p1-ood.txt
S	2086	748ac7d518883306240b3319ad405bd2998eb9fc9e14f9ae5479ca4143507519		notes/.rc-p1-prov.txt
S	180	4fa97715d8fe23250cd7e753b6d95c67a02662abdb670792477a69acbc70562c		notes/.rc-p1-r74res.txt
S	3153	4095e779c598a6a138de787f509de1a96dd072a946b10c243b51586fab2a5a4f		notes/.rc-p1-refuse-upheld.txt
